Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
,,,,,,
Pygocentrus Nattereri,Red Bellied Piranha,الأسماك الضارية (البيرانا),South America,امريكا الجنوبية,"Red Bellied Piranha is known for their ferrosity and aggresion. They possess very sharp triangular teeth and they depend on their sensors to detect movement in the river. 

There is misconception that they attack human beings, however, their main diet consists of fish, birds, rodents and small mammals, they also feed on deseased animals (carcassess). 

Red bellied Piranhas depend on hunting animals in groups. They are attracted to any movements in the water as well as blood. Recent studies that the behaviour of being in a shoal is not only to help  then to hunt but also to defend themselves against the natural predators like other piranha species, Water Snakes, Caiman Crocodiles and Otters. 

Piranhas are opportunistic feeders. During the day small piranhas go to search for food but starting from the evening time, adult piranhas will go for hunting.","هذه الأسماك معرفة بالعدوانية والشراسة , لديها أسنان مثلثة حادة وهى تعتمد على اجهزة إستشعار لرصد أى حركة فى المياه.

هناك اعتقاد خاطئ بأنها تهاجم البشر، بينما غذائها الرئيسي يتكون من الأسماك والطيور والقوارض والثدييات الصغيرة، تتغذى أيضا على الحيوانات المريضة.

تنجذب هذه الأسماك لأى إهتزازات فى المياه وكذلك الدم وهى تقوم بالصيد فى مجموعات .الدرسات الحلية توضح أن تواجدها فى المياه الضحلة ليس فقط من أجل الصيد ولكن للدفاع عن نفسها أيضاً ضد التماسيح ,ثعالب الماء وثعابين الماء والأنواع الأخرى من البيرانا.

تعتبر أسماك البيرانا من الأنواع الإنتهازية فى الحصول على الطعام ,يبحث الصغار عن الطعام خلال النهاروعندما يحل الليل يذهب البالغين للصيد.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Symphysodon discus,Asorted Discus,أسماك القرص المتنوعة,South America,امريكا الجنوبية,"Their common name 'Discus' comes from their flat, rounded body shape. 

Like all cichlid species they are exceptional parents and will actively care for the young. 

This discus are freshwater cichlid fish native to the Amazon River basin","حصلت على إسمها الشائع نسبة إلى شكل جسمها المسطح الدائرى.

هذه السمكة تقدم  بكل نشاط رعاية ابوية إستثنائية للصغارمثل كل أنواع أسماك البلطى.

سماك القرص تعيش فى المياه العذبة وتنتمى لعائلة البلطى وموطنها الأصلى حوض نهر الآمازون.

"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Symphysodon discus,Angelfish,أسماك الملاك,South America,امريكا الجنوبية,"Their striped body allows them to hide just below the surface of the surface of the water  and grab smaller fish as they pass.

In the wild they are ambush predators  preying on small fish and macro-inverterbrates.  

They are monogamous which means they form pairs and stayed  for life.","أن جسمها المخطط يسمح لها بالإختفاء تحت سطح الماء وصيد الأسماك الصغيرة عند مرورها.

هى من الأنواع التى تتربص بفرائسها من الأسماك الصغيرة والرخويات الدقيقة.

أنها أحادية الزوج ممايعنى أنها تعيش مع زوج أو زوجة واحدة مدى الحياة.

"
