Scientific Name,Common Name EN,Common Name AR,Geographic Distribution EN,Geographic Distribution AR,Did You know? EN,Did You know? AR
Osteoglossum bicirrhosum,Silver Arowana,أسماك الأروانا الفضية,South America,امريكا الجنوبية,"This fish has elongated body, wedge-shaped head and wide mouth. They have two barbels on the lower jaw serve as sensory organs

Silver arowana is an excellent jumper. It can leap more than 5 feet above the water.

Mating season of silver arowanas takes place at the beginning of the flooding season. Female produces 50 to 250 eggs per season and male fertilized the eggs in his mouth","هذه الأسماك لديها جسم ممدود ورأس على شكل الوتد مع فم واسع. لديها عضوان أسفل الفك السفلى يقومان بوظيفة الإستشعار.

أسماك الأرونا الفضية ماهرة فى القفز. فيمكنها القفز خارج المياه لمسافة  أطول من 5 أقدام.

يبدأ موسم التزاوج لأسماك الأروانا الفضية فى بداية موسم الفيضان. تضع الأنثى من 50 إلى 250 بيضة فى الموسم الواحد ويقوم الذكر بتخصيب البيض داخل فمه."
,,,,,,
,,,,,,
,,,,,,
 Metynnis argenteus,Silver Dollar,أسماك الدولار الفضية,South America,امريكا الجنوبية,"They are closely related to piranha but they are not aggressive. 

They usually in groups known as 'shoals' which a strategy use to catch their prey and intimidate hungry predators. 

They got their common name from silver coins because of their rounded disk body shape and glimmering silver colour.","أنها ذات صلة قرابة وثيقة بأسماك البيرانا ولكنها ليست عدوانية مثلها.

تعيش عادة فى مجموعات تسمى (المياه الضحلة) وذلك  يعتبر إستراتيجية لصيد فرائسها وإخافة المفترسات الجائعة.

حصلت على إسمها الشائع من العملات المعدنية الفضية بسبب شكل جسمها الدائرى ولونها الفضى الامع."
,,,,,,
,,,,,,
,,,,,,
Phractocephalus hemioliopterus,Red Tail Catfish,أسماك السلور ذات الذيل الأحمر,South America,امريكا الجنوبية,"They are one of the largest of all catfish species 

They have a barbell which helps them to detect their prey. 

They secrete a type of mucus or slime from their skin to provide protection against parasites  and infection.","أنها واحدة من أكبر أنواع أسماك السلور.

لديها مستشعرات تساعدها فى تحديد مكان الفريسة.

أنها تفرز نوع من المخاط أو الوحل من الجلد لتوفير الحماية ضد الطفيليات والعدوى."
,,,,,,
,,,,,,
,,,,,,
Colossoma macropomum,Pacu,أسماك الآكل السريع ( باكو),South America,امريكا الجنوبية,"The word ‘Pacu’ came from Brazilian Indian language Tupi Guarani  means “quick eater” 

Their teeth are similar to human teeth, these teeth used for grinding, chewing fruits that fallen from overhanging trees along Amazon River. 

These fish are omnivorous meaning they eat meat, vegetables and fruits.","أن كلمة (باكو) جاءت من اللغة الهندية البرازيلية القديمة وتعنى ( الآكل السريع).

أسنانها تشبه أسنان الإنسان وهى تستخدمها فى طحن ومضغ الفواكه التى تسقط من فروع الأشجار المتدلية على طول ساحل نهر الآمازون.

هذه الأسماك  تنتمى لعائلة ( لواحم عواشب) لأنها تأكل اللحوم والفاكهة والخضراوات."
,,,,,,
,,,,,,
,,,,,,
Hydrolicus armatus,Vampire Fish,أسماك مصاص الدماء,"Brazil, Bolivia, Peru, Ecuador and Venezuela.","  البرازيل , بوليفيا , بيرو ,الإكوادور وفنزويلا.","They are also known as ‘Payara’, these species have two long fangs projecting from its lower jaw.

This species of vampire fish is ferocious, fast water and migratory fish. This fish are capable of eating fish that are half their own body size.

The “vampire fish” has fangs that can reach up to 6 inches long","تعرف أيضاً بإسم  (بايورا) هذا النوع لديه نابين طويلين بارزين من الفك السفلى.

تعتبر أسماك مصاص الدماء من الأنواع المتوحشة سريعة السباحة التى تهاجر من مكان إلى اخر . تستطيع هذه السمكة أن تأكل أسماك بنفس حجم نصف جسدها.

لديها أنياب يمكن أن يصل طولها إلى مايقرب 15 سم."
,,,,,,
,,,,,,
,,,,,,
Oxydoras niger,Ripsaw Catfish,اسماك السلور ذات المنشار القاطع,South America,  امريكا الجنوبية.,"They possess a very sharp armored scales running down their lateral lines and sharp thorn-like hooks attached to their razor sharp scales.

They are sometimes be called the ""taking catfish""  because of audible noises they make as if they are communicating one another.","لديها قشور حادة جداً مدرعة تقع  وتمتد أسفل الخطوط الجانبية الإستشعارية للسمكة . يوجد على قشورها الحادة كشفرة الحلاقة ,أشواك مثل الخطاف.

يطلق عليها أحياناً (أسماك السلور المتحدثة) نظراً للضوضاء المسموعة التى تحدثها عندما تتواصل مع بعضها البعض."
,,,,,,
,,,,,,
Potamotrygon motoro,Motoro Ray,سَمَكُ الرَّاي اللَّسَّاع (موتورو),"Uruguay, Paraná, Orinoco, and Amazon Rivers.",  أوروغواي، وبارانا، أورينوكو، ونهر الأمازون.,"They are also known as “peacock-eye stingray”. 

They have a powerful sting that can cause severe pain; the stingers are on the tail and are replaced several times a year.

They always found in the bottom floor of rivers waiting for prey to come along.","يطلق عليه أيضاً (  سَمَكُ الرَّاي اللَّسَّاع ذو عين الطاووس)

لديهم لدغة قوية يمكن أن تسبب ألما شديدا. توجد الأشواك الاسعة على الذيل ويتم استبدالها عدة مرات في السنة.

توجد دائماَ فى قيعان الأنهار منتظرة أى فريسة تقترب منها."
,,,,,,
,,,,,,
,,,,,,
Pseudoplatystoma fasciatum,Tiger Shovelnose Catfish,أسماك السلور النمر ذات أنف الجارف,South America,  امريكا الجنوبية.,"Their barbells are used to find a food in the murky water.  

The name Tiger Shovelnose catfish is derived from the beautiful stripped pattern found on the body of the adult fish

They produce different types of sounds by using their sonic muscles. They have well developed auditory reception that discriminates between different pitches and velocities.","لديها اجهزة إستشعارية لتحديد مكان الفريسة فى المياه العكرة.

أُشتق إسمها أسماك السلور النمر ذات أنف الجاروف من الأشكال الجميلة المخططة على جسم البالغين منها.

وهي تخرج أنواع مختلفة من الأصوات عن طريق استخدام عضلاتها الصوتية

لديها أجهزة إستقبال سمعى متطورة يمكنها التميز بين الإهتزازات والسرعات المختلفة."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
